0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036: ReferencePressure(Pa): 95825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
now (ms),fps,gpsTime,gpsLat (deg),gpsLon (deg),gpsAlt (m),gpsHead (deg),gpsSpeed (m/s),gpsSats,bmpTemp (deg C),bmpPressure (Pa),bmpAlt (m),thermistor0 (deg C),thermistor1 (deg C),thermistor2 (deg C),thermistor3 (deg C),thermistor4 (deg C),tmp0 (deg C),tmp1 (deg C),gyroTemp (deg C),accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),angVelX (deg/s),angVelY (deg/s),angVelZ (deg/s),magX (Gauss),magY (Gauss),magZ (Gauss)
1076: XTendAPI: Going to ENextSection::Failure because of unhandled API Identifier 138!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084: XTendAPI: In failure state with 1 bytes remaining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,1,59:48.0,24,121,0,0,0,0,35,95806,1.675,19.542,13.741,2.688,1.976,3.492,37.437,35.812,33.871,0.122729,0.632921,-10.426845,-5.034879,-4.322941,5.666306,25.205385,-0.000769,-0.000769
2046,99,59:48.5,24,121,0,0,0,0,35,95816,0.793,3.292,3.492,-0.116,-0.438,1.15,37.375,35.875,34.104,0.14215,0.744013,-10.539738,-5.68149,-4.915675,6.408709,25.205385,-0.000769,-0.000769
2551,99,59:49.0,24,121,0,0,0,0,35.1,95817,0.705,1.045,1.357,-1.088,-1.307,0.31,37.437,35.875,34.1,0.147101,0.743857,-10.529209,-5.850675,-5.274331,6.529222,25.205385,-0.000769,-0.000769
3054,107,59:49.5,24,121,0,0,0,0,35,95815,0.883,-0.009,0.31,-1.858,-2.08,-0.545,37.437,35.937,34.121,0.143584,0.758248,-10.512696,-5.794579,-5.120621,6.593411,25.205385,-0.000769,-0.000769
3556,107,59:50.0,24,121,0,0,0,0,35.1,95818,0.618,-0.116,0.097,-1.747,-2.08,-0.545,37.5,35.937,34.236,0.15021,0.728091,-10.560506,-5.904286,-4.91559,6.592739,25.205385,-0.000769,-0.000769
4060,107,59:50.5,24,121,0,0,0,0,35,95807,1.585,-0.653,-0.545,-2.529,-2.869,-1.197,37.437,35.937,34.136,0.137922,0.705554,-10.535992,-5.826682,-4.966899,6.649538,25.205385,-0.000769,-0.000769
4562,107,59:51.0,24,121,0,0,0,0,35,95807,1.585,0.626,0.941,-0.87,-1.197,0.203,37.375,36,34.321,0.134241,0.723714,-10.520673,-5.80311,-5.431933,6.687822,25.205385,-0.000769,-0.000769
5065,106,59:51.5,24,121,0,0,0,0,35,95810,1.321,-0.762,-0.545,-2.192,-2.529,-0.87,37.312,35.937,34.114,0.103846,0.745104,-10.528183,-5.772991,-5.662358,6.684514,25.205385,-0.000769,-0.000769
5565,106,59:52.0,24,121,0,0,0,0,35,95804,1.85,-0.979,-0.762,-2.416,-2.642,-0.979,37.375,35.937,34.311,0.122964,0.739876,-10.545787,-5.701507,-5.689628,6.683136,25.205385,-0.000769,-0.000769
6065,106,59:52.5,24,121,0,0,0,0,35,95799,2.291,-1.088,-0.87,-2.755,-2.983,-1.197,37.375,35.937,34.279,0.139284,0.74773,-10.540069,-5.874311,-5.790947,6.717882,25.205385,-0.000769,-0.000769
6566,106,59:53.0,24,121,0,0,0,0,35,95802,2.027,-0.979,-0.762,-2.529,-2.869,-1.197,37.375,35.937,34.393,0.128261,0.684135,-10.489653,-5.878797,-5.931692,6.655267,25.205385,-0.000769,-0.000769
7073,106,59:53.5,24,121,0,0,0,0,35,95794,2.732,-1.088,-0.87,-2.869,-3.096,-1.416,37.375,35.937,34.375,0.111199,0.728122,-10.513936,-5.931451,-5.832555,6.658809,25.205385,-0.000769,-0.000769
7574,106,59:54.0,24,121,0,0,0,0,35,95803,1.939,-1.307,-1.088,-3.096,-3.441,-1.747,37.375,35.937,34.354,0.072963,0.751267,-10.533438,-5.853671,-5.379873,6.713529,25.205385,-0.000769,-0.000769
8080,107,59:54.5,24,121,0,0,0,0,35,95800,2.204,1.667,2.078,-0.116,-0.545,0.521,37.375,36,34.446,0.060124,0.722896,-10.521586,-5.832256,-5.457361,6.681078,25.205385,-0.000769,-0.000769
8580,107,59:55.0,24,121,0,0,0,0,35,95809,1.411,-0.438,-0.009,-2.416,-2.755,-0.979,37.375,36,34.425,0.110436,0.654414,-10.617283,-6.034836,-5.383727,6.736022,25.205385,-0.000769,-0.000769
9081,105,59:55.5,24,121,0,0,0,0,35,95802,2.027,-1.416,-1.088,-2.529,-2.869,-1.197,37.375,36,34.489,0.117147,0.68396,-10.612023,-5.315615,-5.675597,6.899652,25.205385,-0.000769,-0.000769
9582,105,59:56.0,24,121,0,0,0,0,35,95799,2.291,-0.33,-0.009,-1.969,-2.416,-0.762,37.312,36,34.493,0.072391,0.64753,-10.588779,-5.925279,-4.931142,6.903433,25.205385,-0.000769,-0.000769
10089,107,59:56.5,24,121,0,0,0,0,35,95804,1.85,-2.529,-2.304,-4.138,-4.374,-2.304,37.312,36,34.539,0.125511,0.739094,-10.536168,-5.926484,-6.195091,6.930153,25.205385,-0.000769,-0.000769
10597,107,59:57.0,24,121,0,0,0,0,34.9,95792,2.907,-1.416,-1.197,-3.096,-3.441,-1.637,37.25,36,34.582,0.076382,0.438049,-10.575724,-5.302241,-5.590824,7.648275,25.205385,-0.000769,-0.000769
11097,106,59:57.5,24,121,0,0,0,0,34.9,95805,1.762,-1.969,-1.747,-3.672,-4.138,-2.192,37.25,36,34.586,0.085946,0.513449,-10.577718,-5.246052,-5.751146,7.264006,25.205385,-0.000769,-0.000769
11603,106,59:58.0,24,121,0,0,0,0,34.9,95789,3.171,-1.416,-1.197,-3.211,-3.788,-1.969,37.187,35.937,34.604,0.030438,0.628379,-10.593485,-4.648656,-6.279783,13.383403,25.205385,-0.000769,-0.000769
12103,106,59:58.5,24,121,0,0,0,0,34.9,95796,2.555,-2.529,-2.304,-4.021,-4.61,-2.642,37.062,36,34.546,0.095205,0.609192,-10.598369,-5.788547,-5.053502,4.38015,25.205385,-0.000769,-0.000769
12610,106,59:59.1,24,121,0,0,0,0,34.9,95798,2.378,-1.526,-0.979,-3.211,-3.672,-1.969,37.125,36,34.575,0.080585,0.657757,-10.616537,-7.032614,-6.537906,7.067906,25.205385,-0.000769,-0.000769
13117,106,59:59.6,24,121,0,0,0,0,34.9,95803,1.939,-1.307,-0.979,-2.529,-2.755,-0.979,37.187,36.062,34.629,0.099202,0.801777,-10.646317,-8.590363,-5.764886,11.418295,25.205385,-0.000769,-0.000769
13622,106,00:00.1,24,121,0,0,0,0,34.9,95803,1.939,-2.304,-2.08,-4.256,-4.729,-2.642,37.187,36.125,34.618,0.057488,0.876697,-10.624064,-2.876832,-6.279224,8.95546,25.205385,-0.000769,-0.000769
14130,107,00:00.6,24,121,0,0,0,0,34.9,95790,3.084,-2.08,-1.858,-3.905,-4.256,-2.304,37.125,36.125,34.696,0.057671,0.829596,-10.592974,-4.785031,-6.769137,5.962908,25.205385,-0.000769,-0.000769
14631,107,00:01.1,24,121,0,0,0,0,34.9,95802,2.027,-2.08,-1.858,-4.138,-4.729,-2.869,37.062,36.062,34.7,0.003106,0.642802,-10.579916,-3.600826,-6.060794,8.909842,25.205385,-0.000769,-0.000769
15132,107,00:01.6,24,121,0,0,0,0,34.9,95792,2.907,-2.304,-2.192,-4.138,-4.61,-2.755,36.937,36.062,34.839,-0.027143,0.587523,-10.57446,-5.926061,-5.642458,7.034257,25.205385,-0.000769,-0.000769
15636,107,00:02.1,24,121,0,0,0,0,34.8,95786,3.435,-2.416,-2.304,-4.021,-4.374,-2.304,36.875,36.062,34.693,-0.054166,0.847277,-10.591035,-6.800452,-7.788419,2.291316,25.205385,-0.000769,-0.000769
16136,106,00:02.6,24,121,0,0,0,0,34.8,95797,2.465,-2.192,-2.192,-4.021,-4.492,-2.416,36.875,36.062,34.639,-0.234361,0.719208,-10.576725,-3.320205,-5.625333,9.787732,25.205385,-0.000769,-0.000769
16644,106,00:03.1,24,121,0,0,0,0,34.8,95794,2.732,-2.416,-2.08,-3.905,-4.374,-2.416,36.812,36.125,34.582,-0.196076,0.306206,-10.589953,-5.295649,-7.588992,11.094716,25.205385,-0.000769,-0.000769
17148,107,00:03.6,24,121,0,0,0,0,34.9,95799,2.291,-1.637,-1.416,-3.441,-3.788,-1.858,36.812,36.125,34.486,-0.244171,0.197329,-10.597051,-7.614338,-2.476048,3.529006,25.205385,-0.000769,-0.000769
17654,107,00:04.1,24,121,0,0,0,0,34.8,95790,3.084,-1.747,-1.637,-3.672,-4.138,-2.08,36.812,36.062,34.475,-0.051324,0.346439,-10.621236,-5.760536,-4.501929,5.604635,25.205385,-0.000769,-0.000769
18160,106,00:04.6,24,121,0,0,0,0,34.9,95801,2.114,-2.529,-2.304,-4.256,-4.61,-2.642,36.812,36,34.55,-0.020026,0.368163,-10.626935,-4.733968,-5.509092,6.55122,25.205385,-0.000769,-0.000769
18666,106,00:05.1,24,121,0,0,0,0,34.8,95800,2.204,3.89,1.667,-3.211,-3.905,-2.08,36.812,35.937,34.496,-0.045195,0.325301,-10.578866,-6.215171,-5.649587,6.656778,25.205385,-0.000769,-0.000769
19173,107,00:05.6,24,121,0,0,0,0,34.9,95804,1.85,-1.197,-1.307,-3.672,-4.256,-2.192,36.875,35.937,34.546,-0.130207,0.388191,-10.61131,-8.448336,-6.008951,0.60858,25.205385,-0.000769,-0.000769
19681,107,00:06.1,24,121,0,0,0,0,34.9,95800,2.204,-2.304,-2.08,-4.256,-4.61,-2.642,36.812,35.875,34.607,-0.186614,0.479344,-10.561674,-5.019245,-6.863065,5.333591,25.205385,-0.000769,-0.000769
20188,106,00:06.6,24,121,0,0,0,0,34.9,95802,2.027,-2.642,-2.416,-4.374,-4.848,-2.642,36.875,35.875,34.614,-0.278982,0.447562,-10.572956,-6.799821,-4.007819,6.141262,25.205385,-0.000769,-0.000769
20690,106,00:07.1,24,121,0,0,0,0,34.9,95798,2.378,-1.858,-1.747,-4.021,-4.492,-2.416,36.812,35.875,34.632,-0.195128,0.541991,-10.604109,-5.933453,-3.541414,4.143001,25.205385,-0.000769,-0.000769
