0: Serial up and running...
now (ms),fps,trackerGPSTime,trackerGPSLat (deg),trackerGPSLon (deg),trackerGPSAlt (m),trackerGPSHead (deg),trackerGPSSpeed (m/s),trackerGPSSats,pingSendCount,pingReceiveCount,pingRTT (ms),pingRTTMin (ms),pingRTTMax (ms),telemetryReceiveCount,telemetryAge (ms),signalStrength (dB),gpsTime,gpsLat (deg),gpsLon (deg),gpsAlt (m),gpsHead (deg),gpsSpeed (m/s),bmpAlt (m),gps ascent rate (m/s),bmp ascent rate (m/s),tmpInternal (deg C),tmpExternal (deg C),
1040: XTendAPI: Going to ENextSection::Failure because of unhandled API Identifier 138!
1048: XTendAPI: In failure state with 1 bytes remaining
2002,8664,0:0:0.000,0.000000,0.000000,0.000,355.360,0.475,0,0,0,0,0,0,0,2002,-0,,,,,,,,,,
3002,9075,0:0:0.000,0.000000,0.000000,0.000,284.390,0.761,0,0,0,0,0,0,0,3002,-0,,,,,,,,,,
3980,9075,0:0:0.000,0.000000,0.000000,0.000,280.170,0.227,0,0,0,0,0,0,1,0,-59,16:2:53.300,24.000000,121.000000,0.000,0.000,0.000,2.642,0.000,0.000,38.437,38.375,
4980,8906,16:2:54.600,37.668304,-98.059768,463.700,312.100,0.138,6,0,0,0,0,0,1,1000,-59,16:2:53.300,24.000000,121.000000,0.000,0.000,0.000,2.642,0.000,0.000,38.437,38.375,
5980,8971,16:2:55.600,37.668323,-98.059799,472.300,312.100,0.119,7,0,0,0,0,0,1,2000,-59,16:2:53.300,24.000000,121.000000,0.000,0.000,0.000,2.642,0.000,0.000,38.437,38.375,
6980,8850,16:2:56.600,37.668327,-98.059799,475.800,288.850,0.341,7,0,0,0,0,0,1,3000,-59,16:2:53.300,24.000000,121.000000,0.000,0.000,0.000,2.642,0.000,0.000,38.437,38.375,
7980,8839,16:2:57.600,37.668331,-98.059806,472.500,284.810,0.375,7,0,0,0,0,0,1,4000,-59,16:2:53.300,24.000000,121.000000,0.000,0.000,0.000,2.642,0.000,0.000,38.437,38.375,
8980,8816,16:2:58.600,37.668323,-98.059776,474.600,290.780,0.241,7,0,0,0,0,0,1,5000,-59,16:2:53.300,24.000000,121.000000,0.000,0.000,0.000,2.642,0.000,0.000,38.437,38.375,
8997,8816,16:2:58.600,37.668323,-98.059776,474.600,290.780,0.241,7,0,0,0,0,0,2,0,-60,16:2:58.300,24.000000,121.000000,0.000,0.000,0.000,2.204,0.000,0.000,38.500,38.500,
9997,8853,16:2:59.600,37.668319,-98.059776,473.500,290.780,0.127,7,0,0,0,0,0,2,1000,-60,16:2:58.300,24.000000,121.000000,0.000,0.000,0.000,2.204,0.000,0.000,38.500,38.500,
10997,8839,16:3:0.600,37.668323,-98.059768,470.700,290.780,0.066,7,0,0,0,0,0,2,2000,-60,16:2:58.300,24.000000,121.000000,0.000,0.000,0.000,2.204,0.000,0.000,38.500,38.500,
11997,8850,16:3:1.600,37.668319,-98.059761,468.500,290.780,0.072,7,0,0,0,0,0,2,3000,-60,16:2:58.300,24.000000,121.000000,0.000,0.000,0.000,2.204,0.000,0.000,38.500,38.500,
12997,8812,16:3:2.600,37.668312,-98.059753,467.700,290.780,0.116,7,0,0,0,0,0,2,4000,-60,16:2:58.300,24.000000,121.000000,0.000,0.000,0.000,2.204,0.000,0.000,38.500,38.500,
13987,8851,16:3:3.600,37.668308,-98.059745,467.400,290.780,0.100,7,0,0,0,0,0,3,0,-64,16:3:3.300,24.000000,121.000000,0.000,0.000,0.000,2.819,0.000,0.018,38.437,38.625,
14987,8733,16:3:4.600,37.668308,-98.059738,468.600,290.780,0.083,8,0,0,0,0,0,3,1000,-64,16:3:3.300,24.000000,121.000000,0.000,0.000,0.000,2.819,0.000,0.018,38.437,38.625,
15987,8804,16:3:5.600,37.668308,-98.059730,469.200,290.780,0.250,8,0,0,0,0,0,3,2000,-64,16:3:3.300,24.000000,121.000000,0.000,0.000,0.000,2.819,0.000,0.018,38.437,38.625,
16987,8791,16:3:6.600,37.668308,-98.059722,470.800,290.780,0.044,8,0,0,0,0,0,3,3000,-64,16:3:3.300,24.000000,121.000000,0.000,0.000,0.000,2.819,0.000,0.018,38.437,38.625,
17987,8876,16:3:7.600,37.668312,-98.059715,475.100,290.780,0.055,8,0,0,0,0,0,3,4000,-64,16:3:3.300,24.000000,121.000000,0.000,0.000,0.000,2.819,0.000,0.018,38.437,38.625,
18987,8853,16:3:8.600,37.668312,-98.059715,478.600,290.780,0.069,8,0,0,0,0,0,3,5000,-64,16:3:3.300,24.000000,121.000000,0.000,0.000,0.000,2.819,0.000,0.018,38.437,38.625,
19004,8844,16:3:8.700,37.668312,-98.059715,478.800,290.780,0.063,8,0,0,0,0,0,4,0,-55,16:3:8.300,24.000000,121.000000,0.000,0.000,0.000,2.465,0.000,0.018,38.562,38.875,
20004,8775,16:3:9.700,37.668312,-98.059722,480.300,290.780,0.138,8,0,0,0,0,0,4,1000,-55,16:3:8.300,24.000000,121.000000,0.000,0.000,0.000,2.465,0.000,0.018,38.562,38.875,
21004,8841,16:3:10.700,37.668315,-98.059730,481.400,290.780,0.030,8,0,0,0,0,0,4,2000,-55,16:3:8.300,24.000000,121.000000,0.000,0.000,0.000,2.465,0.000,0.018,38.562,38.875,
22004,8816,16:3:11.700,37.668315,-98.059730,482.600,290.780,0.250,8,0,0,0,0,0,4,3000,-55,16:3:8.300,24.000000,121.000000,0.000,0.000,0.000,2.465,0.000,0.018,38.562,38.875,
23004,8809,16:3:12.700,37.668315,-98.059738,483.600,290.780,0.222,8,0,0,0,0,0,4,4000,-55,16:3:8.300,24.000000,121.000000,0.000,0.000,0.000,2.465,0.000,0.018,38.562,38.875,
23995,8809,16:3:13.600,37.668315,-98.059738,483.600,290.780,0.083,8,0,0,0,0,0,5,0,-53,16:3:13.300,24.000000,121.000000,0.000,0.000,0.000,2.465,0.000,-0.035,38.062,39.250,
24995,8743,16:3:14.600,37.668315,-98.059738,483.000,290.780,0.027,8,0,0,0,0,0,5,1000,-53,16:3:13.300,24.000000,121.000000,0.000,0.000,0.000,2.465,0.000,-0.035,38.062,39.250,
25995,8844,16:3:15.600,37.668319,-98.059738,483.100,290.780,0.250,8,0,0,0,0,0,5,2000,-53,16:3:13.300,24.000000,121.000000,0.000,0.000,0.000,2.465,0.000,-0.035,38.062,39.250,
26995,8806,16:3:16.600,37.668323,-98.059738,482.600,290.780,0.094,8,0,0,0,0,0,5,3000,-53,16:3:13.300,24.000000,121.000000,0.000,0.000,0.000,2.465,0.000,-0.035,38.062,39.250,
27995,8818,16:3:17.600,37.668323,-98.059738,482.900,290.780,0.108,8,0,0,0,0,0,5,4000,-53,16:3:13.300,24.000000,121.000000,0.000,0.000,0.000,2.465,0.000,-0.035,38.062,39.250,
28994,8776,16:3:18.600,37.668319,-98.059738,483.000,290.780,0.061,8,0,0,0,0,0,6,0,-58,16:3:18.300,24.000000,121.000000,0.000,0.000,0.000,2.994,0.000,-0.035,37.250,39.125,
