3047: ReferencePressure(Pa): 22541
now (ms),fps,battery (V),gpsTime,gpsLat (deg),gpsLon (deg),gpsAlt (m),gpsCourse (deg),gpsCourse (cardinal),gpsSpeed (m/s),gpsSats,bmpTemp (deg C),bmpPressure (Pa),bmpAlm (m),thermistor0 (deg C),thermistor1 (deg C),thermistor2 (deg C),tmp0 (deg C),tmp1 (deg C),gyroTemp (deg C),accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),angVelX (deg/s),angVelY (deg/s),angVelZ (deg/s),magX (Gauss),magY (Gauss),magZ (Gauss),
3162,1,3.129,19:58:40.70,30.355239,-95.510093,11233.000,80.900,E,28.140,7,-25.100,22542,-0.375,-27.32,-53.22,-53.16,0.000,0.000,-28.700,-11.139844,0.000000,-0.803906,-85.773910,-54.400001,-8.278262,0.317692,0.160000,0.350769,
3266,1,3.125,19:58:40.80,30.355239,-95.510063,11231.901,80.400,E,27.831,7,-25.100,22542,-0.375,-27.34,-53.24,-53.09,0.000,0.000,-29.286,-11.446094,-0.076563,-1.148437,-86.956520,-55.513042,-6.886957,0.337692,0.116154,0.353077,
3371,1,3.124,19:58:40.90,30.355249,-95.510032,11230.901,80.400,E,27.831,7,-25.000,22564,-8.603,-27.26,-53.03,-53.03,0.000,0.000,82.143,-11.101563,0.000000,-0.727344,0.000000,0.000000,0.000000,0.353846,0.073846,0.349231,
3475,1,3.123,19:58:41.00,30.355249,-95.510009,11230.000,79.100,E,27.574,7,-25.600,22396,54.407,-27.17,-52.71,-52.99,0.000,0.000,-28.582,-10.948438,-0.153125,-0.995312,-87.304344,-56.695652,-12.034783,0.373077,0.044615,0.347692,
3586,1,3.121,19:58:41.10,30.355260,-95.509979,11229.201,78.200,ENE,27.471,7,-25.000,22562,-7.858,-27.16,-52.71,-52.97,0.000,0.000,-28.471,-11.101563,-0.114844,-0.803906,-86.191307,-62.886955,-9.669566,0.391538,0.003846,0.329231,
3694,1,3.120,19:58:41.20,30.355260,-95.509948,11228.300,78.200,ENE,27.471,7,-25.000,22553,-4.492,-27.17,-52.68,-52.96,0.000,0.000,-29.361,-10.833595,-0.076563,-0.803906,-86.886955,-58.852172,-13.078261,0.409231,-0.019231,0.310000,
3805,1,3.119,19:58:41.30,30.355260,-95.509918,11227.500,78.200,ENE,27.471,7,-25.000,22558,-6.363,-27.17,-52.66,-52.90,0.000,0.000,-28.668,-11.331251,-0.153125,-0.880469,-87.860870,-61.008697,-15.373913,0.432308,-0.045385,0.280769,
3911,1,3.118,19:58:41.40,30.355270,-95.509902,11226.701,78.200,ENE,27.471,7,-25.000,22558,-6.363,-27.17,-52.66,-52.89,0.000,0.000,82.143,-11.101563,-0.191406,-0.689063,0.000000,0.000000,0.000000,0.448462,-0.057692,0.248462,
4012,38,3.117,19:58:41.50,30.355270,-95.509872,11225.901,78.200,ENE,27.471,7,-26.300,22486,20.604,-27.17,-52.67,-52.86,0.000,0.000,-28.136,-11.216407,-0.153125,-1.071875,-86.956520,-60.034782,-13.495653,0.464615,-0.070769,0.216923,
4112,38,3.116,19:58:41.60,30.355279,-95.509841,11225.100,78.200,ENE,27.471,7,-25.000,22559,-6.738,-27.17,-52.67,-52.80,0.000,0.000,-28.796,-11.025001,-0.076563,-1.186719,-86.678260,-64.139129,-14.678261,0.477692,-0.076154,0.180000,
4220,38,3.113,19:58:41.80,30.355279,-95.509788,11223.500,78.200,ENE,27.471,7,-25.100,22552,-4.117,-27.17,-52.67,-52.76,0.000,0.000,-28.714,-10.833595,-0.076563,-0.842187,-85.773910,-67.060867,-18.226087,0.490000,-0.072308,0.140769,
4333,38,3.112,19:58:41.90,30.355289,-95.509773,11222.701,78.700,ENE,23.870,7,-25.100,22563,-8.233,-27.18,-52.67,-52.72,0.000,0.000,-28.911,-10.986720,-0.153125,-0.918750,-84.800003,-70.260871,-16.486955,0.492308,-0.062308,0.093846,
4438,38,3.110,19:58:41.90,30.355289,-95.509773,11222.701,78.700,ENE,23.870,7,-25.000,22561,-7.483,-27.13,-52.61,-52.70,0.000,0.000,82.143,-10.680469,-0.229688,-0.650781,0.000000,0.000000,0.000000,0.498462,-0.048462,0.050000,
